stock1,stock2,signal,z_score,edge,p_target,p_stop,hedge_ratio,weight,kelly_weight,capital_allocation,risk_dollars,risk_pct,shares1,shares2,price1,price2,hedge_error,win_loss_ratio,expected_profit,expected_loss,theta,volatility
F,MMC,SHORT_SPREAD,2.467809834627019,1.6127643489208627,0.8579818057175375,0.1420181942824625,-0.0661658879902299,0.1604937529004391,0.1604937529004391,3366.78,726.0556222093386,21.565282620466398,30,36,6.8,87.855,2.517414756034487,3.6975689568556684,1.0923743410344502,0.2954304176015642,0.1717037271139086,0.3060489405235175
BAC,MS,LONG_SPREAD,-2.158787030789933,0.8646148675402683,0.6823311347001341,0.3176688652998659,0.2424458150131813,0.0619013143987788,0.0619013143987788,1190.005,463.7083812100388,38.96692713140186,4,11,55.845,87.875,4.682735191280541,1.9718990214185608,1.5614093012758454,0.7918302531295878,0.1173346888898279,0.4318973632173818
AES,LNT,SHORT_SPREAD,1.5547254916812887,0.8585776410369078,0.9215408597422476,0.0784591402577523,0.4488621072473192,0.0672419177069923,0.0672419177069923,1396.65,1298.3273592950902,92.96010878137616,30,35,14.565000000000001,27.42,1.433942281968255,0.7297751988362761,0.8945027438726278,1.2257236821681963,0.1328993162529529,0.4029293768431702
PFE,SLB,LONG_SPREAD,-1.4387754586695518,0.6713740765276601,0.8930394471432433,0.1069605528567566,0.2360879932510915,0.057258797165754,0.057258797165754,1212.145,1212.145,100.0,9,22,25.465,44.68,1.2410545225835559,0.6013071366848639,0.8723610578155659,1.4507744954185657,0.0883252198714757,0.3809951517603918
CTRA,UPS,LONG_SPREAD,-1.665066561186035,0.648223780266346,0.7932628876321245,0.2067371123678755,0.1151825024840045,0.0436493179185058,0.0436493179185058,946.3454952675646,758.7133606261208,80.17297746121847,6,12,25.05,107.92,0.760261975465376,0.872752548787114,1.210515590364471,1.3870089431955883,0.1255577442579902,0.5129757692455688
NI,RTX,LONG_SPREAD,-1.5283965691100367,0.5946214778083954,0.8264899634793434,0.1735100365206565,0.0778767851211992,0.0386747014802916,0.0386747014802916,791.7706239412562,762.3495041920321,96.2841359783251,2,6,42.085,187.515,3.935694420459356,0.6988272434837327,1.1067264116463695,1.5836909936842378,0.1066239950569591,0.4786455390013508
O,SO,SHORT_SPREAD,1.841050802648959,0.5791737914013657,0.6952491955009628,0.3047508044990372,0.3259789608286926,0.0565951398142254,0.0565951398142254,1167.225,734.7730301258853,62.95041916733152,5,10,58.185,87.63,1.8447532591621467,1.1571264777732617,1.5526462215746866,1.3418120243541145,0.1010429578472309,0.5071231782949601
GEN,TXN,LONG_SPREAD,-1.4328744650603935,0.562730010600887,0.8519422182161973,0.1480577817838027,0.0824007049066261,0.030358293326276,0.030358293326276,668.6011393616709,668.6011393616709,100.0,3,5,25.490000000000002,188.935,1.7624006557270255,0.5952774326380589,0.9969313156637932,1.6747339324552362,0.0949318431187561,0.4495665465344038
T,MOS,LONG_SPREAD,-1.2509687338928317,0.4304511449569589,0.8717929644256509,0.1282070355743491,0.2436653160180693,0.0327907935939749,0.0327907935939749,720.1795682363319,720.1795682363319,100.0,9,34,24.18,25.95,1.2252392251231286,0.42936266975047754,1.0149513055048254,2.363855493293491,0.061536329523377,0.3911592012424636
HST,QCOM,SHORT_SPREAD,0.9182211434556766,0.4006853011657172,0.9929856630840164,0.0070143369159837,0.0894014811507523,0.0005881554042614,0.0005881554042614,764.3788934179755,764.3788934179755,100.0,11,6,8.785,178.46499999999997,0.9451436277740519,0.20089604721507665,0.30105110908180593,1.4985417247135013,0.1066119884671325,0.316298864774319
HAL,SNA,SHORT_SPREAD,1.7874361450541514,0.2676210710226337,0.592073970387393,0.407926029612607,0.1824445723680731,0.0076395593539639,0.0076395593539639,699.1160575172224,474.2674943120525,67.83816352270942,5,5,32.3,181.25,2.3227195861982954,1.0617470905164383,2.2601409423090173,2.128699915918465,0.1389574758267164,0.8952997435051239
CCL,TRMB,SHORT_SPREAD,1.881877124065734,0.2595532505438354,0.5510704505912406,0.4489295494087594,0.5566439094608563,0.0107143605809291,0.0107143605809291,697.4300600008497,414.3801391062124,59.415296654363814,12,17,31.68,40.295,0.3014422293318476,1.2358902172635395,2.314955315264222,1.8731075648368727,0.0634068998500452,0.6144353278081408
EQR,MKC,LONG_SPREAD,-1.516049131561734,0.2123707658779791,0.6785286537264981,0.3214713462735019,0.6553554038787258,0.0130896187453378,0.0130896187453378,657.3491520533745,643.4315516225348,97.88276893833894,13,9,30.22,67.9,1.9045997048042946,0.6846918945713079,1.960494355034079,2.863323446031975,0.0869537733310771,0.7726811504495297
HPE,RJF,LONG_SPREAD,-0.9094441933637688,0.1831478848061786,0.909481476576964,0.0905185234230361,0.2555982310815918,0.0187251475500081,0.0187251475500081,693.8125313492154,693.8125313492154,100.0,10,10,22.1,83.865,3.0988161606261277,0.19585422788716514,0.5969232878758276,3.0477937306501497,0.0839792541952727,0.5761265341410566
HBAN,MTB,LONG_SPREAD,-0.6675711391734894,0.1675711391734891,1.0,1.1102230246251563e-16,0.0966482874288091,0.0016845042908798,0.0016845042908798,758.3354926117156,758.3354926117156,100.0,11,5,9.07,211.685,2.4683166525885936,0.07184405148978887,0.043841569158787924,0.6102324165977623,0.1215451335855698,0.1244735198160105
CAG,PG,SHORT_SPREAD,0.788385009996778,0.1534008760986548,0.9460063464407508,0.0539936535592492,0.3389479606411976,0.0084666431161351,0.0084666431161351,742.8603270585247,742.8603270585247,100.0,17,6,16.84,141.38,0.43223568921276184,0.13039566619882506,0.42875331674614076,3.2880948366212195,0.0964107893859218,0.5652695223121326
DVN,MET,SHORT_SPREAD,0.9394050174958268,0.1371768203788854,0.8791087211532235,0.1208912788467765,0.399229284233745,0.0009496601453468,0.0009496601453468,657.2640337321596,657.2640337321596,100.0,8,9,36.120000000000005,79.43,1.2484227585351255,0.21324181667269343,0.7769894215269931,3.643701004102776,0.0869830111293048,0.7197867076691734
IP,POOL,SHORT_SPREAD,1.2129996344789684,0.1015840687815366,0.7554337737210273,0.2445662262789727,0.148971708672683,3.710190335941891e-05,3.710190335941891e-05,660.7669800283123,660.7669800283123,100.0,3,8,43.06,110.0,1.4608506182942769,0.3989924390816119,1.7858021520723162,4.475779431266464,0.1017968177770703,1.1115966512480862
MRNA,UNP,SHORT_SPREAD,1.8899552380408813,0.1013648446702318,0.4845638426517402,0.5154361573482598,0.3166020230201209,0.0155250992006092,0.0155250992006092,745.2436400525428,437.71078932070344,58.73391811701244,8,8,34.215,108.06,0.008726152142704616,1.2521614313892606,4.061644331393393,3.243706625660111,0.1105450762449241,1.2996901032529022
FOXA,STLD,SHORT_SPREAD,1.2738545300561936,0.0828577880379036,0.723601303192684,0.276398696807316,0.379741088632861,0.0003804435569764,0.0003804435569764,695.2824592809654,695.2824592809654,100.0,4,9,75.045,84.635,3.777129587178101,0.44831362334797076,2.2509221540385798,5.020864940995705,0.1005167240831022,1.2589865865840144
EVRG,XEL,SHORT_SPREAD,0.6423997966410594,0.0734045123845868,0.972401886297411,0.027598113702589,0.8577547250510303,0.0233414219269079,0.0233414219269079,715.9105570492447,715.9105570492447,100.0,18,8,27.68,74.39500000000001,2.4018160403233333,0.060400315727059374,0.20112635397327855,3.3298891165095985,0.0971585947751301,0.5947858302245599
INTC,WBD,SHORT_SPREAD,1.1444506487841315,0.0661088807359189,0.7686632927807149,0.2313367072192851,1.0798978709827565,0.0076113857692249,0.0076113857692249,670.6898120130218,670.6898120130218,100.0,12,17,44.455,28.875,0.6348170465649339,0.34730989416252833,1.9361403092061533,5.574676511519451,0.0732975368267232,1.1374937076456018
APA,KEYS,LONG_SPREAD,-0.6794172050302345,0.0633905268800155,0.9535893287399124,0.0464106712600875,0.1357248440542991,0.0011862351215195,0.0011862351215195,774.7960664220486,774.7960664220486,100.0,12,5,11.955,207.975,1.646010537602984,0.07731558012890125,0.3323881421666451,4.299109462963151,0.0753977026728947,0.6576117490322493
KR,VICI,LONG_SPREAD,-0.85682771271665,0.0579514501071061,0.8804494949561824,0.1195505050438175,1.468071334903111,0.0003656730647586,0.0003656730647586,656.4783261517141,656.4783261517141,100.0,10,31,59.25,13.23,1.594435317031466,0.16649511326453323,0.9296301529594343,5.583528157264325,0.0916975440715458,1.0728064510189963
C,SYF,SHORT_SPREAD,1.287731300972739,0.0566039512150535,0.7075490600969259,0.2924509399030741,1.4272542714663328,4.439592500327774e-05,4.439592500327774e-05,662.416965947248,662.416965947248,100.0,5,10,120.96000000000001,40.69,4.141239216980796,0.46005121825812073,3.130995407764684,6.805753975871395,0.0681086762451116,1.2650583343191952
LVS,NUE,LONG_SPREAD,-1.7644849707112698,0.0516371594052166,0.5148608754775787,0.4851391245224212,0.583212390657201,0.0155766073374705,0.0155766073374705,750.7599620235871,525.6917638093962,70.02128381919229,7,9,58.555,81.86,4.606005792998094,1.0234476641204575,4.986215997635637,4.871979459663675,0.0990923152170734,1.7312724465113838
LUV,WMT,SHORT_SPREAD,2.5119223526951333,0.0428576800776683,0.212374130953014,0.787625869046986,0.2948289171229217,0.0018616989835177,0.0018616989835177,744.2615055769859,144.61330949654598,19.4304432531997,6,16,44.41,54.39,3.8539226291194204,4.122135819586984,6.017140957767811,1.4597143862112474,0.0324427482931917,0.8712172477576346
PCAR,SOLV,SHORT_SPREAD,1.274079473849734,0.0366072482208648,0.7050111097484523,0.2949888902515477,1.045307713949675,0.0030314353172823,0.0030314353172823,703.6469712311248,703.6469712311248,100.0,10,6,55.675,86.32,2.8379446982655065,0.4485023858985842,3.759217260301545,8.381710729966066,0.0723685616306067,1.6177352769244089
OXY,SHW,LONG_SPREAD,-0.717267278202621,0.0365268729404515,0.9277038378951322,0.0722961621048677,0.1218214423395046,0.0001178313827121,0.0001178313827121,764.3461556021236,764.3461556021236,100.0,3,3,42.855000000000004,346.27,1.5927918727135368,0.09517858842078938,0.6496944129498806,6.826056403332529,0.0863274666385381,1.0527688997684832
USB,WFC,SHORT_SPREAD,0.5495196277473484,0.0297209959252648,0.9920805472711666,0.0079194527288334,0.4838794971404607,0.0203482933042756,0.0203482933042756,656.062555890395,656.062555890395,100.0,6,7,55.215,95.815,2.0797416621496203,0.020208130743698444,0.07960702097675562,3.939355994199498,0.0834329676480924,0.5035138381066927
EL,NTRS,SHORT_SPREAD,1.2079525682495036,0.0269584600628517,0.7276023567253392,0.2723976432746607,0.9397376635804549,0.0184082608105294,0.0184082608105294,744.8540600439052,744.8540600439052,100.0,5,8,110.945,72.86,1.2725980951284956,0.39505236061635146,3.616120831010836,9.15352290356916,0.1069718713663672,2.234780537784581
CF,DIS,LONG_SPREAD,-1.0892140279078064,0.0263423284183097,0.7748513202042013,0.2251486797957986,0.5251373882148878,0.0036533685182583,0.0036533685182583,766.3366148059189,766.3366148059189,100.0,5,14,82.575,54.11,3.786311393847068,0.3083621276864688,2.938855545023659,9.530533360477323,0.0801256978469641,1.840696131487925
AWK,CCI,SHORT_SPREAD,0.8050404607918963,0.024060802398004,0.8876081366424431,0.1123918633575569,0.9640687548358154,0.0136141898866462,0.0136141898866462,761.2786222568011,761.2786222568011,100.0,9,7,63.975,83.845,1.7582400755192698,0.13897315888654083,1.1769412604139466,8.468838658080832,0.1082114658285881,1.714813774278485
SWKS,SYY,LONG_SPREAD,-1.383615169580183,0.0181480836346162,0.6538131656217733,0.3461868343782267,0.7689530048725942,0.0003018164488815,0.0003018164488815,729.1235395270695,729.1235395270695,100.0,8,18,60.334999999999994,35.05,0.5055218982375592,0.5466613846844166,6.378920138566352,11.668869097547201,0.0605367020132907,2.179234821134279
KMB,TYL,LONG_SPREAD,-1.0654804563764793,0.0147256245303428,0.7796980672615454,0.2203019327384545,0.2243739177176324,4.171944474568489e-05,4.171944474568489e-05,716.1528168865486,716.1528168865486,100.0,2,4,98.945,223.97,1.553192728658841,0.29231054203633733,3.495741153739608,11.958997884192113,0.0876930076412004,2.544368687759301
KVUE,KDP,LONG_SPREAD,-0.5216973737980483,0.0140022622793161,0.9969219553925072,0.0030780446074928,0.841798797581874,0.0164559720942191,0.0164559720942191,658.7994372956135,658.7994372956135,100.0,27,20,16.825000000000003,27.595,2.2199754608093847,0.008754933142002886,0.02618864776522377,2.9913018569588448,0.0934558271098767,0.5066760465171846
LDOS,TEL,SHORT_SPREAD,1.1598892131206842,0.0125504669018606,0.7410645015124706,0.2589354984875294,0.5585170075161602,0.0070873244211072,0.0070873244211072,714.6861627363837,714.6861627363837,100.0,4,6,99.28,115.735,2.392793345554904,0.3586138496801079,4.816775825191283,13.43165030990287,0.0825640377677466,2.82049376359994
DELL,XYL,LONG_SPREAD,-1.3277005991201971,0.0116204703237681,0.6735679484814283,0.3264320515185717,1.6197768135056765,0.0089645620890958,0.0089645620890958,718.1956565957069,718.1956565957069,100.0,12,6,56.495,69.825,0.0980681739402563,0.4949476144551273,6.781994141213228,13.70244838674355,0.110749670903603,3.6276956885260434
HAS,HUBB,SHORT_SPREAD,0.7424491787292941,0.0112503351935262,0.9075204625856929,0.0924795374143071,0.1841972878731031,0.000203732714386,0.000203732714386,732.0764905169104,732.0764905169104,100.0,6,4,29.505,235.265,2.1283520142541272,0.10739478218825961,1.4173070709457274,13.197168820187498,0.0490216941300457,1.533421160636664
AMT,HRL,LONG_SPREAD,-1.3695762103150746,0.0103065920614898,0.6562921526985661,0.3437078473014339,4.164241128120518,0.0067664627138962,0.0067664627138962,714.2409284407979,714.2409284407979,100.0,11,19,80.41,10.86,2.939831236558281,0.5333436716371255,8.944873429847371,16.771312580480476,0.0621469496692705,2.921120909985453
MMM,XOM,LONG_SPREAD,-0.7475476271899051,0.0068867609103464,0.9037356534881764,0.0962643465118234,1.3463730370365237,1.1319849325275677e-05,1.1319849325275677e-05,713.8939075927678,713.8939075927678,100.0,8,8,77.935,58.355,0.805164708772741,0.10990138134688807,1.6930979323281523,15.405611026708844,0.0922338048466941,2.721282062787035
LOW,SPG,SHORT_SPREAD,1.5371805192096384,0.0067194869168627,0.5878155870828897,0.4121844129171103,0.9883479788502346,0.0089865405871563,0.0089865405871563,714.3980699568872,679.83909548196,95.16250450158512,2,6,268.72,92.275,1.7834208421695905,0.7090283748813966,10.787586619206536,15.214604945833148,0.0434654719919049,3.131756251408868
BX,TSCO,SHORT_SPREAD,1.2383997037064585,0.0059502727440243,0.7070202276150264,0.2929797723849736,3.485472549424657,0.0028938319665253,0.0028938319665253,690.5485711087814,690.5485711087814,100.0,11,10,73.765,24.325,4.296346739061206,0.41916415730632706,7.817705624238864,18.650701611697322,0.0719158798875153,3.961884792452787
COR,MCK,LONG_SPREAD,-0.6800680989074867,0.0058554091104383,0.9303149240811808,0.0696850759188193,0.4392509702192548,0.0006496191820982,0.0006496191820982,702.8547160875089,702.8547160875089,100.0,2,2,167.73,369.0,3.4836292567691856,0.07761783818856412,1.0967243029407372,14.129797074177258,0.1051651625210229,2.725229286514397
APO,HSIC,LONG_SPREAD,-0.7738154698578664,0.0043806846268678,0.8922260859076006,0.1077739140923994,1.876371957181634,0.0001875107359485,0.0001875107359485,725.0116698560713,725.0116698560713,100.0,5,10,143.82999999999998,38.815,1.2582180225529729,0.12299765187946227,2.404004561512466,19.54512565710109,0.0866699319310453,3.464557092906161
BIIB,FOX,SHORT_SPREAD,0.7491030421520488,0.0040862028473598,0.9019932642781244,0.0980067357218755,2.829942569242261,0.0006515835584407,0.0006515835584407,665.2324181105108,665.2324181105108,100.0,8,8,93.795,33.205,0.18436336163880368,0.11066834547158147,2.3427967627249644,21.169529125440583,0.0892451712924747,3.4908712779538584
